year,direction_ferme,total_value,total_relative,total_slope,total_reg,total_relative,total_peace_reg_memory,total_peace_reg_no_memory,total_avg_war_loss_memory,total_avg_war_loss_no_memory,imports_value,imports_relative,imports_slope,imports_reg,imports_relative,imports_peace_reg_memory,imports_peace_reg_no_memory,imports_avg_war_loss_memory,imports_avg_war_loss_no_memory,exports_value,exports_relative,exports_slope,exports_reg,exports_relative,exports_peace_reg_memory,exports_peace_reg_no_memory,exports_avg_war_loss_memory,exports_avg_war_loss_no_memory,total_no_colonial_product_value,total_no_colonial_product_relative,total_no_colonial_product_slope,total_no_colonial_product_reg,total_no_colonial_product_relative,total_no_colonial_product_peace_reg_memory,total_no_colonial_product_peace_reg_no_memory,total_no_colonial_product_avg_war_loss_memory,total_no_colonial_product_avg_war_loss_no_memory,total_no_colonial_trade_value,total_no_colonial_trade_relative,total_no_colonial_trade_slope,total_no_colonial_trade_reg,total_no_colonial_trade_relative,total_no_colonial_trade_peace_reg_memory,total_no_colonial_trade_peace_reg_no_memory,total_no_colonial_trade_avg_war_loss_memory,total_no_colonial_trade_avg_war_loss_no_memory,imports_no_colonial_product_value,imports_no_colonial_product_relative,imports_no_colonial_product_slope,imports_no_colonial_product_reg,imports_no_colonial_product_relative,imports_no_colonial_product_peace_reg_memory,imports_no_colonial_product_peace_reg_no_memory,imports_no_colonial_product_avg_war_loss_memory,imports_no_colonial_product_avg_war_loss_no_memory,exports_no_colonial_product_value,exports_no_colonial_product_relative,exports_no_colonial_product_slope,exports_no_colonial_product_reg,exports_no_colonial_product_relative,exports_no_colonial_product_peace_reg_memory,exports_no_colonial_product_peace_reg_no_memory,exports_no_colonial_product_avg_war_loss_memory,exports_no_colonial_product_avg_war_loss_no_memory,imports_no_colonial_trade_value,imports_no_colonial_trade_relative,imports_no_colonial_trade_slope,imports_no_colonial_trade_reg,imports_no_colonial_trade_relative,imports_no_colonial_trade_peace_reg_memory,imports_no_colonial_trade_peace_reg_no_memory,imports_no_colonial_trade_avg_war_loss_memory,imports_no_colonial_trade_avg_war_loss_no_memory,exports_no_colonial_trade_value,exports_no_colonial_trade_relative,exports_no_colonial_trade_slope,exports_no_colonial_trade_reg,exports_no_colonial_trade_relative,exports_no_colonial_trade_peace_reg_memory,exports_no_colonial_trade_peace_reg_no_memory,exports_no_colonial_trade_avg_war_loss_memory,exports_no_colonial_trade_avg_war_loss_no_memory
1768,Marseille,164926838.74123067,0.3148224968875596,1.1,135632717.00096756,0.3148224968875596,,,-39.5%,-30.6%,93173015.27424042,0.4032096076457822,1.8,75012295.13291575,0.4032096076457822,,,-40.0%,-29.8%,71753823.46699026,0.24506580394367178,0.3,57469619.89264194,0.24506580394367178,,,-41.6%,-33.6%,140109314.25881693,,0.9,113362439.35960886,,,,-38.2%,-27.0%,152201071.90395486,,1.5,120873268.55712348,,,,-35.9%,-21.0%,80911944.16220726,,1.6,63442334.45159475,,,,-38.0%,-24.8%,59197370.09660966,,0.1,48018725.30386103,,,,-40.0%,-29.9%,76100535.95197743,,1.5,60509964.33046587,,,,-35.4%,-19.2%,76100535.95197743,,1.5,60436634.27856163,,,,-35.9%,-21.0%
1768,Rouen,56837509.562988214,0.10849493517283539,2.5,63317844.87448495,0.10849493517283539,,,30.0%,25.3%,34296141.22932436,0.14841779680670472,3.3,37943845.838107735,0.14841779680670472,,,53.9%,47.8%,22541368.33366385,0.07698709679521232,1.3,24695571.993065216,0.07698709679521232,,,6.6%,3.6%,37242187.90085966,,2.0,43342006.77992908,,,,97.5%,93.3%,33711399.49313058,,3.1,42462043.124145456,,,,157.2%,145.3%,23562545.84656591,,3.0,26994714.733516965,,,,126.8%,119.7%,13679642.05429375,,0.1,15653328.561341526,,,,71.2%,70.8%,16855699.74656529,,3.1,21231021.56207269,,,,157.2%,145.3%,16855699.74656529,,3.1,21231021.56207269,,,,157.2%,145.3%
1768,Bordeaux,66384779.234595485,0.12671935091629236,3.7,95503065.56330805,0.12671935091629236,,,-49.2%,-57.2%,18740052.71038781,0.08109825874343904,4.2,36951243.17184196,0.08109825874343904,,,-38.5%,-53.8%,47644726.524207674,0.16272433502728706,3.2,55685551.892941676,0.16272433502728706,,,-56.9%,-60.6%,35251726.49073143,,2.2,46213135.91962074,,,,-53.2%,-55.5%,8492462.99517183,,3.0,20149357.66864328,,,,-46.2%,-38.5%,7466132.997967315,,2.9,15144518.244154448,,,,-47.7%,-40.4%,27785593.49276412,,1.9,30498218.96088058,,,,-53.5%,-55.1%,4246231.497585915,,3.0,10413961.797029953,,,,-47.0%,-41.8%,4246231.497585915,,3.0,10074678.834321763,,,,-46.2%,-38.5%
1768,Nantes,,0.0,1.2,34458549.359388895,0.0,,,-41.9%,-38.6%,,0.0,1.1,14751413.130854536,0.0,,,-48.6%,-46.3%,20807669.969185553,0.07106587667121209,0.6,16498174.161290448,0.07106587667121209,,,-24.4%,13.7%,,,0.6,19750486.201915644,,,,-23.1%,6.9%,,,-0.2,9266909.051700316,,,,-30.2%,53.9%,,,0.0,6858991.244947235,,,,-34.6%,31.5%,12601053.588831795,,0.6,11033672.382599633,,,,-6.7%,42.0%,,,-0.1,4677649.576561498,,,,-31.5%,56.8%,,,-0.2,4633454.52585015,,,,-30.2%,53.9%
1768,Bayonne,11292988.05783448,0.021556750404141737,0.1,18113578.42504632,0.021556750404141737,,,22.6%,40.3%,3063423.65555632,0.013257077133052369,0.3,6583193.716685726,0.013257077133052369,,,13.4%,23.8%,8229564.402278161,0.02810700139593711,-0.4,11418783.787941737,0.02810700139593711,,,29.2%,49.7%,9726944.875566881,,0.3,16204261.349117355,,,,31.5%,49.0%,4506196.90852124,,0.5,10974902.145818278,,,,29.0%,37.4%,2253261.45426062,,0.4,5558364.306959722,,,,28.9%,36.9%,7473683.421306261,,0.2,10500110.943069316,,,,31.3%,52.7%,2253098.45426062,,0.5,5455334.144419736,,,,30.1%,37.3%,2253098.45426062,,0.5,5487451.072909138,,,,29.0%,37.4%
1768,La Rochelle,14133178.045252874,0.026978279794376586,-0.7,13835582.358648118,0.026978279794376586,,,47.4%,42.5%,7401081.661642419,0.03202844969824942,-0.5,6157626.7242230745,0.03202844969824942,,,149.9%,144.1%,6732096.383610454,0.02299259513654713,-0.8,7626194.567803394,0.02299259513654713,,,-0.4%,-1.6%,8756271.034269072,,-1.3,10154040.590578299,,,,44.1%,34.1%,6018883.26924892,,1.8,4600290.961375505,,,,8.1%,-17.7%,4497735.008513149,,-1.0,3942593.0120527786,,,,99.7%,86.6%,4258536.025755924,,-1.4,6088677.906814925,,,,7.4%,2.2%,3009441.63462446,,1.8,2269546.1713125766,,,,9.3%,-17.2%,3009441.63462446,,1.8,2300145.4806877724,,,,8.1%,-17.7%
1757,Marseille,,0.0,1.1,119757448.19924584,0.0,165068537.12571448,137523816.31667024,-39.5%,-30.6%,53358505.38187696,0.36267101594827245,1.8,61540397.53241262,0.36267101594827245,84872476.49264306,70147837.01797871,-40.0%,-29.8%,,0.0,0.3,55746164.35910463,0.0,75712100.35260348,64161728.00815517,-41.6%,-33.6%,,,0.9,102744340.06137924,,141827162.2261633,114631636.11099522,-38.2%,-27.0%,,,1.5,102807570.67456913,,154466716.47692856,115348103.42296246,-35.9%,-21.0%,49250171.026194714,,1.6,53209293.84011241,,73201070.91774376,57797163.83497492,-38.0%,-24.8%,,,0.1,47654723.70543408,,63561821.66443849,52927563.94560822,-40.0%,-29.9%,49247496.026194714,,1.5,51086439.4841047,,71376716.21958092,53654290.816327155,-35.4%,-19.2%,,,1.5,51403785.33728447,,77233358.23846468,57674051.711480714,-35.9%,-21.0%
1757,Rouen,,0.0,2.5,47875117.65730987,0.0,44396223.93874587,44396223.93874587,30.0%,25.3%,,0.0,3.3,26328293.52347641,0.0,21232917.944641374,21232917.944641374,53.9%,47.8%,,0.0,1.3,21495230.11447457,0.0,23485984.857401334,23485984.857401334,6.6%,3.6%,,,2.0,34819796.451909944,,27130675.78929834,27130675.78929834,97.5%,93.3%,,,3.1,30142379.906318173,,19798843.578453537,19798843.578453537,157.2%,145.3%,,,3.0,19344798.95066017,,13107830.17299884,13107830.17299884,126.8%,119.7%,,,0.1,15467237.581226738,,14215415.58727552,14215415.58727552,71.2%,70.8%,,,3.1,15071189.953159058,,9899421.78922675,9899421.78922675,157.2%,145.3%,,,3.1,15071189.953159058,,9899421.78922675,9899421.78922675,157.2%,145.3%
1757,Bordeaux,39823112.57058905,0.11848076947732525,3.7,63526142.58475932,0.11848076947732525,111225840.64176503,124201884.94352253,-49.2%,-57.2%,11011190.544747401,0.07484167019078293,4.2,23392984.04428134,0.07484167019078293,34689843.83439013,30823049.893489968,-38.5%,-53.8%,28811922.02584165,0.15245363081507063,3.2,39296138.90094225,0.15245363081507063,75054851.14819118,94810427.6065879,-56.9%,-60.6%,29760802.336926382,,2.2,36131481.982252166,,59853365.201187834,64769443.8704954,-53.2%,-55.5%,9770474.58393296,,3.0,14526260.513817577,,20622786.1487191,13823961.575908706,-46.2%,-38.5%,6699487.90182381,,2.9,10978754.78445393,,13946276.50294165,9885608.666920975,-47.7%,-40.4%,23061314.43510257,,1.9,24775567.548071906,,44308885.58733169,56952988.282906964,-53.5%,-55.1%,4885237.29196648,,3.0,7450045.923266311,,10364411.154019706,6911980.787954241,-47.0%,-41.8%,4885237.29196648,,3.0,7263130.256908879,,10311393.07435953,6911980.787954241,-46.2%,-38.5%
1757,Nantes,,0.0,1.2,30263857.10719858,0.0,30649048.508631703,27449863.28545698,-41.9%,-38.6%,,0.0,1.1,13106363.32920537,0.0,16454366.364679879,13857126.446971772,-48.6%,-46.3%,4984994.270048742,0.026377291850908827,0.6,15435526.485324636,0.026377291850908827,17609770.086215578,19066009.25927136,-24.4%,13.7%,,,0.6,18582944.202398196,,15067163.98711586,11529620.102061639,-23.1%,6.9%,,,-0.2,9471889.468718931,,8907328.174828557,3568215.35096687,-30.2%,53.9%,,,0.0,6841852.9362377785,,6763652.540534975,3357661.9016005564,-34.6%,31.5%,4489054.24027548,,0.6,10314148.366438346,,9765646.595460493,12285431.39758419,-6.7%,42.0%,,,-0.1,4754515.43377466,,4453664.08741427,1784107.6754834317,-31.5%,56.8%,,,-0.2,4735944.734359466,,4453664.08741427,1784107.6754834317,-30.2%,53.9%
