count_to_marseille,latitude,longitude,province,port,count_total,ratio_to_marseille
117,43.4,5.05,Provence,Martigues,358,0.3268156424581006
100,43.433333,6.733333,Provence,Fréjus,247,0.4048582995951417
121,43.133333,5.75,Provence,Bandol,200,0.605
181,43.678359, 4.628813,Provence,Arles,463,0.39092872570194387
33,43.15,6.333333,Provence,Bormes,28,1.1785714285714286
148,43.266667,6.633333,Provence,Saint-Tropez,417,0.354916067146283
59,43.316667,3.466667,Languedoc,Agde,306,0.19281045751633988
153,43.166667,5.6,Provence,La Ciotat,,
14,43.3,6.633333,Provence,Sainte-Maxime,,
284,43.116667,5.933333,Provence,Toulon,806,0.3523573200992556
110,43.08613645952041,6.150292341697001,Provence,Hyères,,
52,43.566667,7.083333,Provence,Golfe-Juan,,
2,43.05,5.85,Provence,cap Sicié,,
40,43.116667,5.8,Provence,Sanary-sur-Mer,103,0.3883495145631068
5,43.55,5.033333,Provence,Saint-Chamas,,
13,43.1,5.883333,Provence,La Seyne,60,0.21666666666666667
50,43.583333,7.116667,Provence,Antibes,266,0.18796992481203006
173,43.4,3.683333,Languedoc,Sète,625,0.2768
95,43.216667,5.533333,Provence,Cassis,19,5.0
6,43.466667,5.183333,Provence,Berre,,
17,43.121786,6.291718,Provence,Léoube,,
7,43.8,4.633333,Provence,Beaucaire,,
4,42.524957,3.082595,Roussillon,Collioure,226,0.017699115044247787
51,43.554919, 6.996996,Provence,Cannes,,
17,42.516667,3.116667,Roussillon,Port-Vendres,,
20,43.183333,3,Languedoc,Narbonne,164,0.12195121951219512
4,43.516667,6.933333,Provence,Napoule,,
3,43.083333,6.083333,Provence,Carqueiranne,,
3,42.766667,2.983333,Roussillon,Saint-Laurent-de-la-Salanque,74,0.04054054054054054
5,43.566667,4.183333,Languedoc,Aigues-Mortes,7,0.7142857142857143
150,42,9,Corse,Corse,,
20,42.633333,8.933333,Corse,île Rousse (Corse),,
1,43.453417,4.42832,Provence,Saintes-Maries-de-la-Mer,20,0.05
8,43.3,5.4,Provence,Marseille,4353,0.001837813002526993
2,43.416667,6.766667,Provence,Saint-Raphaël,,
1,43.361168,4.583656,Provence,pointe de Beauduc de Tignes,,
1,43.516667,7.05,Provence,île Sainte-Marguerite,,
9,43.433333,6.85,Provence,Agay,,
29,43.066667,5.8,Provence,Le Brusc,,
9,43.113327,6.190524,Provence,Gapeau,66,0.13636363636363635
10,43.166667,6.533333,Provence,Cavalaire,,
4,43.016667,3.05,Languedoc,La Nouvelle,,
7,43.033333,6.133333,Provence,Giens,,
1,43.335167,4.837303,Provence,embouchure du Rhône,,
5,43.578152,7.055082,Provence,Vallauris,,
15,43.4,4.983333,Provence,Port-de-Bouc,,
16,42.702778,9.45,Corse,Bastia,255,0.06274509803921569
21,41.918584,8.736863,Corse,Ajaccio,110,0.19090909090909092
11,42.566667,8.75,Corse,Calvi,2,5.5
4,42.872001,9.477839,Corse,Luri [Porticciolo],,
3,43.010516,6.381977,Provence,Port-Cros,,
1,42.35,8.6,Corse,Girolata,,
1,42.9,9.35,Corse,Pino,,
4,43.068731,5.872875,Provence,Entre le cap Cépet et Fabrégas,,
3,43,9.383333,Corse,cap Corse,,
2,43.5,6.933333,Provence,Théoule,,
2,43.183333,5.666667,Provence,Le Liouquet,,
3,43.066667,5.95,Provence,cap Cépet,,
7,42.683333,9.3,Corse,Saint-Florent,,
2,43.283333,5.3,Provence,Frioul,,
1,43.183333,5.716667,Provence,Saint Cyr (sur mer),,
1,41.477032, 9.075326,Corse,Figari,,
1,42.866778, 9.340408,Corse,Barrettali,,
3,41.383333,9.15,Corse,Bonifacio,44,0.06818181818181818
2,41.616667,8.983333,Corse,Sartène,,
1,43.416667,5.216667,Provence,Marignane,,
1,43.066667,6.233333,Provence,Golfe des îles d'Hyères,,
1,42.990586,4.89418,Provence,Port-de-Bouc (sur),,
1,43,6.2,Provence,Porquerolles,,
1,43.211270,5.521310,Provence,Port-Miou,,
1,42.992741, 9.376622,Corse,Ersa,,
1,43.133333,6.366667,Provence,Lavandou,,
1,43.666667,7.15,Provence,Cagnes,,
1,43.211182,5.484466,Provence,Côtes de Provence,,
